Leaders Names,Image URL,Names,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
#2 Alex English,18,https://stats.nba.com/media/img/teams/logos/DEN_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,1100,2399,3717,5646,7728,10054,12221,14483,16897,19242,21242,23417,24850,25613,25613,25613,25613,25613,25613,25613,25613.0,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613,25613
#7 Carmelo Anthony,19,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1725,3283,5405,7286,9264,10768,12711,14681,15926,17846,19958,20924,22497,24156,25417,25551,25551
#41 Dirk Nowitzki,6,https://stats.nba.com/media/img/teams/logos/DAL_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,385,1820,3604,5383,7394,9074,11106,13257,15173,16986,19080,21107,22788,24130,25047,26782,28115,29487,30256,31183,31560,31560
#21 Dominique Wilkins,13,https://stats.nba.com/media/img/teams/logos/ATL_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434,3184,5401,7767,10061,12458,14557,16695,18796,19975,22096,24019,25389,25389,26534,26668.0,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668
#11 Elvin Hayes,10,https://stats.nba.com/media/img/teams/logos/WAS_logo.svg,0,0,0,0,0,0,0,0,0,2327,4583,6933,8996,10713,12448,14335,15920,17862,19460,21249,23108,24547,25865,26911,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313.0,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313,27313
#34 Hakeem Olajuwon,11,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692,3289,5044,6849,8883,10878,12065,13575,15715,17899,19904,21840,23650,24422.0,25367,25822,26511,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946,26946
#17 John Havlicek,16,https://stats.nba.com/media/img/teams/logos/BOS_logo.svg,0,0,0,1140,2735,4110,5444,7177,8877,10648,12608,14946,17198,19100,20816,22389,23678,25073,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395.0,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395
#33 Kareem Abdul-Jabbar,1,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg,0,0,0,0,0,0,0,0,0,0,2361,4957,7779,10071,12262,14211,16486,18638,20238,22141,24175,26270,28088,29810,31527,33262,35108,36474,37639,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387.0,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387,38387
#32 Karl Malone,2,https://stats.nba.com/media/img/teams/logos/UTA_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,2982,5250,7576,10116,12498,14770,16987,19050,21237,23343,25592,27782.0,28946,31041,32919,34707,36374,36928,36928,36928,36928,36928,36928,36928,36928,36928,36928,36928,36928,36928,36928,36928,36928,36928
#21 Kevin Garnett,17,https://stats.nba.com/media/img/teams/logos/MIN_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,2144,3662.0,4639,6496,8280,9994,11877,13864,15681,17337,19041,20378,21277,22267,23323,24270,25274,25626,25949,26071,26071,26071,26071,26071
#24 Kobe Bryant,3,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,1759.0,2755,4240,6178,8197,10658,12215,14034,16866,19296,21619,23820,25790,27868,29484,31617,31700,32482,33643,33643,33643,33643,33643
#23 LeBron James,4,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1654,3829,6307,8439,10689,12992,15250,17361,19044,21080,23169,24912,26832,28786,31037,32543,32543
#23 Michael Jordan,5,https://stats.nba.com/media/img/teams/logos/CHI_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,2721,5762,8630,11263,14016,16596,19000,21541,21541,21998,24489,26920,29277.0,29277,29277,29277,30652,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292,32292
#24 Moses Malone,9,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,2227,4258,6377,8599,11119,13027,14636,16577,18336,20096,21703,23340,24868,25735,27014,27064,27358,27409,27409,27409,27409.0,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409,27409
#14 Oscar Robertson,12,https://stats.nba.com/media/img/teams/logos/SAC_logo.svg,0,2165,4597,6861,9341,11620,13998,16410,18306,20261,22009,23578,24692,25822,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710.0,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710,26710
#34 Paul Pierce,15,https://stats.nba.com/media/img/teams/logos/BOS_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,791,2218,4289,6433,8481,10317,12086,14202,15375,16945,18603,19899,21410,22591,24021,25031,25899,26316,26397,26397,26397,26397
#34 Shaquille O'Neal,8,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,4270,6585,8019,9355,11054.0,12343,14687,16812,18634,20475,21914,23583,24764,25454,26286,27619,28255,28596,28596,28596,28596,28596,28596,28596,28596,28596,28596
